PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_True
0,149,0.7119453650967104,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,5252,False,True,False,False,False,True,False
1,2184,-0.33403748485524115,-0.16807343153112558,-0.27538656847021764,-0.2417707085098513,0.21715824908070328,-0.2242046757208368,4502,True,False,False,False,False,True,False
2,1,2.0368569750358487,-0.26800059707635127,1.9599976497107467,-0.2835786325139853,5.695622892929779,-0.21979574252259557,457,False,True,False,False,False,True,True
3,1,0.29355222511592977,-0.33310465947702855,0.523009701213704,0.33685095970736284,2.687176366158295,-0.09281846641324847,7149,False,True,False,False,False,True,False
4,2186,-0.8918950048296153,0.12565187325332555,-0.2371588035952418,-0.031058771529016094,0.23137418068978294,-0.26123971458606304,8319,True,False,False,False,False,True,False
5,2183,1.0606063150806941,-0.33310465947702855,0.021661965148447117,-0.2835786325139853,-0.012073648115706317,-0.26300328786535954,6878,True,False,False,False,True,False,False
6,3425,-0.19457310486164758,-0.2695146450391577,0.6834409767545863,-0.2785616816334892,-0.2706259042558427,-0.26300328786535954,1155,True,False,False,False,False,True,False
7,4559,-0.05510872486805407,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,1453,True,False,False,True,False,True,False
8,3565,0.4330166051095233,-0.33310465947702855,0.21092073551308163,-0.2551492441911742,-0.07871082753326725,-0.26300328786535954,556,True,False,False,False,False,True,False
9,150,-1.0313593848232088,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,2864,True,True,False,True,False,False,False
10,150,0.3632844151127265,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,453,True,True,False,True,False,True,False
11,150,1.130338505077491,-0.27405678892757707,4.29063793774411,0.7014160570234111,-0.17289137444342004,-0.1536617445489773,8255,True,True,False,False,False,False,False
12,2185,0.22382003511913298,-0.22257915819215776,-0.2810267305009518,1.5944333137517128,-0.2706259042558427,-0.16336139758510798,1084,True,False,True,False,False,True,False
13,4561,1.3395350750678812,0.7554958257808085,-0.2804000458308702,-0.17487803010323696,-0.2706259042558427,-0.24184040851380167,6576,False,False,False,False,False,True,False
14,3424,-0.05510872486805407,-0.32099227577457695,0.3293641381584986,-0.26351082899200096,-0.2688489128047078,-0.25683078138782184,2699,True,False,False,False,False,True,False
15,6156,0.15408784512233623,-0.2846551246672222,-0.2810267305009518,1.181371024590869,-0.2706259042558427,-0.26300328786535954,4535,False,False,False,False,False,True,False
16,3564,-0.12484091486485083,1.6139610206920652,-0.2045712007510001,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,3060,False,False,True,False,False,False,False
17,3696,-0.33403748485524115,-0.33310465947702855,-0.2804000458308702,-0.2835786325139853,-0.2706259042558427,0.2986948015905718,1548,False,False,False,False,False,False,False
18,3844,1.130338505077491,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,465,True,False,True,True,False,True,False
19,4558,-2.0076100447783634,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,5172,True,False,False,False,False,True,False
20,3988,-1.0313593848232088,0.2906831011992285,-0.2810267305009518,-0.2819063155538199,-0.2706259042558427,0.33572984045579807,6244,False,False,False,False,False,False,False
21,1407,-1.9378778547815667,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,364,False,False,False,True,False,True,False
22,1407,1.409267265064678,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,3371,False,False,False,True,False,False,False
23,1407,0.014623465128742697,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,5676,False,False,False,True,False,False,False
24,1407,-1.3102881448103958,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,1343,True,False,False,False,False,True,False
25,1407,-1.9378778547815667,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,5239,False,False,False,True,True,False,False
26,1407,-1.5194847148007862,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,7606,False,False,False,False,False,True,False
27,1034,-0.5432340548456314,1.1506623440732917,-0.27977336116078866,-0.1681887622625755,-0.2706259042558427,-0.26300328786535954,414,False,False,True,False,False,True,False
28,750,2.3157857350230358,-0.33310465947702855,-0.2810267305009518,-0.2835786325139853,-0.2706259042558427,-0.26300328786535954,6208,True,True,False,True,False,True,False
29,3989,-0.961627194826412,-0.33310465947702855,-0.14002267973259824,-0.2835786325139853,0.6160928298605014,-0.26300328786535954,4561,False,False,False,False,False,True,False
30,598,0.3632844151127265,-0.2997956042952867,3.5248292709044304,-0.2835786325139853,1.007030949110192,0.026222729939264455,664,False,True,False,False,False,False,False
31,4268,0.9908741250838974,1.370199298680227,-0.2810267305009518,-0.05614352593149648,-0.22797810942860372,-0.26300328786535954,1627,False,False,True,False,False,True,False
